subject_id,X1__0,X2__0,X3__0,X4__0,X5__0,X1__1,X2__1,X3__1,X4__1,X5__1,X1__2,X2__2,X3__2,X4__2,X5__2,X1__3,X2__3,X3__3,X4__3,X5__3,X1__4,X2__4,X3__4,X4__4,X5__4,X1__5,X2__5,X3__5,X4__5,X5__5,X1__6,X2__6,X3__6,X4__6,X5__6,X1__7,X2__7,X3__7,X4__7,X5__7,X1__8,X2__8,X3__8,X4__8,X5__8,X1__9,X2__9,X3__9,X4__9,X5__9,X1__10,X2__10,X3__10,X4__10,X5__10
128,27,15,10,52,78,27,15,56,36,67,27,15,10,52,78,27,15,10,36,67,27,15,10,36,78,27,42,56,36,67,27,15,10,52,78,27,15,56,52,67,27,15,10,52,78,27,42,56,36,67,27,42,10,52,78
317,44,15,10,52,78,27,15,10,52,78,27,15,10,52,78,44,15,56,36,67,27,15,56,52,67,27,15,10,52,78,44,42,56,36,67,27,15,10,36,67,27,15,56,36,67,27,42,10,52,78,27,42,10,52,78
716,44,15,10,52,67,27,15,10,52,78,27,15,56,52,67,27,42,10,52,78,27,42,10,36,78,27,15,10,52,67,27,42,10,36,78,27,15,10,36,67,27,42,10,52,67,27,15,10,36,67,27,15,10,36,78
691,27,15,10,52,67,27,15,10,52,78,44,42,56,36,67,27,15,10,52,67,27,42,10,52,78,27,42,56,36,67,44,42,10,36,78,27,15,10,36,67,27,15,10,36,78,27,42,56,36,67,27,42,10,52,78
1226,44,15,10,36,78,27,42,10,52,78,27,42,56,36,78,27,42,10,52,67,44,42,56,36,67,44,15,56,36,67,27,42,10,52,67,44,42,10,52,78,27,42,10,36,67,44,15,56,36,78,44,15,10,52,67
415,27,15,10,52,78,27,15,10,52,78,27,15,56,52,67,44,15,10,52,78,27,15,56,36,67,27,15,10,52,78,27,42,56,52,67,27,15,10,52,78,27,15,10,36,78,27,42,56,52,67,27,42,56,52,78
1365,44,42,10,52,78,44,15,56,36,78,44,15,10,52,67,27,42,10,52,78,27,42,10,52,67,27,42,56,36,78,44,15,10,36,67,44,42,10,52,67,44,42,10,52,78,27,42,10,52,67,27,42,56,36,67
1675,44,42,10,52,78,27,42,10,36,67,27,15,10,36,67,27,15,56,52,78,44,42,10,52,67,27,42,10,36,78,27,42,10,52,78,27,42,10,52,67,44,15,10,52,67,27,15,10,52,78,27,42,10,52,67
1681,44,42,10,52,78,27,42,10,52,67,27,42,10,52,67,27,42,56,36,78,44,15,10,36,67,44,42,10,52,67,27,42,10,52,67,27,42,10,52,67,44,15,10,36,67,44,15,10,52,78,27,15,10,52,67
147,44,15,10,52,78,27,15,10,36,78,27,15,56,36,67,27,15,10,52,78,27,42,56,36,67,27,15,10,52,78,27,15,10,52,78,27,15,56,36,67,27,15,10,52,78,44,15,56,52,67,27,15,10,52,78
